code,FR,ZH,IT,DE,EN,PT,AR,ES,RU,JA
graphic.subtitle,"Nombre cumulé d'entrées* en salles en Suisse en fonction de l'année de production. La taille des bulles est proportionnelle au score du film sur IMDb.com. Placez votre curseur sur une bulle pour en savoir plus sur un film. Cliquez sur une bulle pour voir un extrait du film (en langue originale). Note: En conformité avec les normes statistiques européennes, seuls les films 100% suisses ou coproductions majoritairement suisses sont pris en compte dans ce graphique.",影片发布之年的票房成绩。圆圈大小对应影片在互联网电影数据库(IMDb.com)中所得的分数。将光标置于圆圈上，您可获知具体电影讯息。点击圆圈，您可观看影片片断(原声版)。注意：为了确定“瑞士电影“这一概念，我们参照的是定义电影主要出品国的欧洲惯例。,"Numero di entrate* registrate nei cinema svizzeri, a seconda dell'anno di produzione. La dimensione della bolla è proporzionale alla nota su IMDb. Spostate il cursore su una bolla per saperne di più su un film. Cliccate sulla bolla per vedere uno estratto del film o il trailer (in lingua originale). Nota: sono presi in considerazione solo i film 100% svizzeri o le coproduzioni maggioritarie svizzere, in conformità con le norme statistiche europee.","Anzahl Eintritte* in Schweizer Kinos im Entstehungsjahr. Die Grösse der Blase entspricht der Bewertung auf der Filmdatenbank IMDb. Fahren Sie mit dem Cursor über eine Blase, um mehr über den Film zu erfahren. Klicken Sie die Blase an, um einen Filmausschnitt oder den Trailer zu sehen (in Originalsprache). Die Grafik umfasst nur 100-prozentige Schweizer Filme oder nach Richtlinien europäischer Statistiken hauptsächlich schweizerische Koproduktionen.",Number of tickets* sold in Swiss cinemas in the year the film appeared. The size of the bubble depends on its score at the film database IMDb. Move the cursor over the bubble to find out more about the film. Click on the bubble to see a film clip or trailer (in the original language). Note: the films listed here are restricted to 100% Swiss productions or coproductions with mainly Swiss involvement according to the standard European criteria.,"Número de entradas* pagas nos cinemas suíços, de acordo com o ano de produção. O tamanho da bolha é proporcional à nota no IMDb. Mova o cursor sobre uma bolha para saber mais sobre um filme. Clique na bolha para ver um trecho do filme ou o trailer (na língua original). Nota: são levados em conta apenas o filme 100% suíço ou com uma maioria de co-produção suíça, de acordo com as normas estatísticas europeias.
",العدد التراكمي للدخول إلى القاعات في سويسرا وفقا لسنة الإنتاج. حجم الفقاعات مواز للنتيجة التي تحصل عليها الشريط على موقع IMDb.com . ضع مؤشر الفأرة فوق فقاعة لمعرفة المزيد عن الفيلم. انقر على فقاعة لرؤية مقطع من الفيلم (في لغته الأصلية). ملاحظة: لتحديد ما إذا كان الشريط سويسريا، تم اعتماد المعايير الأوروبية على أساس بلد الإنتاج ذي الإسهام الأغلبي.,"Número de entradas* en las salas de cine en Suiza, según el año de producción. La dimensión de la burbuja es proporcional a los datos de IMDb.com. Colocar el curso sobre una esfera para saber más sobre el filme concernido. Pulsar sobre la burbuja para ver un corte de la película (en idioma original). El gráfico comprende solo filmes 100% suizos y las coproducciones helvéticas de hechura primordialmente suiza, según las líneas directrices de la estadística europea. ","Отражено совокупное количество походов в кино в Швейцарии на данный фильм в соответствии с годом выпуска. Размер окружности пропорционален рейтингу фильма на сайте IMDb.com. Наведите курсор на окружность, чтобы узнать больше о фильме. Нажмите на окружность, чтобы увидеть трейлер фильма на языке оригинала. Примечание: некоторые фильмы являются совместным производством, поэтому швейцарским фильм считается только в случае, если большая часть работ по его производству происходила на территории Швейцарии.",映画が製作された年のスイス国内観客動員数* 。グラフ内の円の大きさは、インターネット・ムービー・データベースの評価に比例。映画の詳細（英語）を見るには、カーソルを円の上に合わせてください。円をクリックして映画の予告編や映像の一部をお楽しみいただけます（オリジナル言語）。統計には、スイス映画および共同制作映画（欧州の統計基準でスイス映画と位置づけられている作品のみ）が含まれます。
source,sources,来源,Fonte,Quellen,Source,fonte,المصادر,Fuentes,Источник,出典
source.label,"Office fédéral de la statistique, ProCinema",瑞士联邦统计局，瑞士电影放映及发行协会(ProCinema),"Ufficio federale di statistica, ProCinema","Bundesamt für Statistik, ProCinema","Federal Statistics Office, ProCinema","Departamento Federal de Estatísticas, ProCinema",المكتب الفدرالي للسينما، مؤسسة ProCinema,"Oficina Federal de Estadística, proCinema",Федеральное ведомство статистики Швейцарии (BfS),連邦統計局、スイス映画配給協会
source.link,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html
source2.label,Internet movie database,互联网电影数据库,Internet movie database,Internet movie database,Internet movie database,Internet movie database,قاعدة بيانات الأفلام على الإنترنت,Base de datos cibernética del cine,«Интернет-база кинофильмов»,インターネット・ムービー・データベース
source2.link,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com
director.cat,réalisateur,导演,regista,Regie,director,diretor,مخرج,director,режиссер,director
genre.cat,genre,电影类别,genere,Filmgenre,genre,gênero,صنف ,género,жанр,ジャンル
comedy.type,comédie,喜剧,commedia,Komödie,comedy,comédia,كوميديا ,comedia,комедия,コメディー
drama.type,drame,剧情片,drammatico,Drama,drama,drama,دراما ,drama,драма,ドラマ
comedydrama.type,comédie dramatique,悲喜剧,commedia drammatica,Tragikomödie,comedy-drama,cométida dramática,كوميديا درامية  ,comedia dramática,трагикомедия,悲喜劇
documentary.type,documentaire,纪录片,documentario,Dokumentarfilm,documentary,documentário,وثائقي ,documental,документальный фильм,ドキュメンタリー
horrormystery.type,horreur/mystère,恐怖片/神幻片,horror,Horrorfilm,horror,terror,رعب/غموض,terror,ужасы,ホラー
family.type,famille,家庭片,per tutti,Familienfilm,family-oriented,filme para famílias,شريط لكل العائلة ,filme familiar,для семейного просмотра,ファミリー
clickToHide,(cliquez pour masquer),(点击隐藏或显示),(Cliccate per nascondere uno o più filoni),(Mit Klick verbergen oder einblenden),(Click to hide),(clique aqui para esconder),(انقر للتغطية),Pulsar para ocultar,"(Нажмите, чтобы скрыть)",（ジャンルをクリックして表示・非表示を切り替えられます）
language.cat,langue,语言,lingua,Sprache,language,idioma,اللغة,idioma,язык,language
ger.type,allemand,德语,tedesco,Deutsch,German,alemão,الألمانية ,alemán,немецкий,German
fre.type,français,法语,francese,Französisch,French,francês,الفرنسية ,francés,французский,French
year.cat,année,出品年份,anno,Jahr,year,ano,السنة ,año,год,year
admissions.cat,entrées,票房,entrate,Eintritte,Ticket sales,entradas,عدد المتفرجين ,entradas,количество зрителей,Ticket sales
imdb.cat,note IMDb,互联网电影数据库积分,nota IMDb,Bewertung IMDb,IMDb score,nota do IMDb,العلامة الممنوحة من IMDb,nota IMDb,рейтинг IMDb,IMDb score
ylab.label,Entrées (en milliers),票房(以千计),Entrate (in migliaia),Eintritte (in Tausend),Ticket sales (thousands),entradas (em milhares),عدد المتفرجين (بالآلاف),entradas (en miles),зрители (в тыс.),観客動員数（単位：１千人）
trailer,Extrait video ou bande annonce (en langue originale),影片片断或预告片(原声),Estratto del film o trailer (in lingua originale),Filmausschnitt oder Trailer (in Originalsprache),film clip or trailer (in original language),Trecho do filme ou trailer (em idioma original),مقطع فيديو أو الإعلان الإشهاري (باللغة الأصلية) ,Extracto del filme o 'trailer‘,Извлечь видео или трейлер (на языке оригинала),film clip or trailer (in original language)
footnote,"* Tous les cinémas en Suisse (cinémas open air inclus, festivals de film et cinémas érotiques non inclus)","所有的瑞士影院(包括露天影院、电影节，不包括色情影院)

","* Tutti i cinema in Svizzera (inclusi gli open air, ma non i festival)","* Alle Kinos in der Schweiz (inkl. Open-Airs, aber ohne Festivals)","* All cinemas in Switzerland (including open air, but not festivals)",* Todos os cinemas da Suíça (incluíndo open air e festivais de filme. Cinema erótico não incluido),*جميع أصناف قاعات العرض السينمائي في سويسرا (بما في ذلك العروض السينمائية في الهواء الطلق، وبدون احتساب المهرجانات السينمائية وقاعات عرض الأفلام الجنسية),* Todos los cines en Suiza (incluidos aquellos con funciones al aire libre. Excluidos los festivales de cine),"*Учтены все кинотеатры Швейцарии (без показов в формате OpenAir, без фестивальных показов и без порно-кинотеатров)",* スイス国内の映画館での観客動員数（野外も含む）。映画フェスティバルでの観客動員数は含まれません。
